70,4,3,3,55,8,4,3,2
103,7,1,0,34,4,0,1,2
51,4,4,2,74,4,8,3,0
38,4,1,3,96,3,1,4,0
46,6,5,6,66,8,6,7,0
35,8,8,4,78,8,7,2,0
48,4,1,3,80,8,6,0,2
80,4,9,5,38,2,8,4,1
59,5,6,2,53,8,4,13,1
64,17,4,5,52,4,2,2,2
27,7,6,3,98,2,5,2,1
28,12,13,5,87,2,2,1,1
45,10,4,1,65,11,8,6,1
42,6,8,5,69,11,3,6,2
59,4,5,8,46,12,9,7,0
58,9,9,2,56,5,2,9,2
60,8,7,3,42,18,9,3,0
61,12,8,2,53,7,4,3,0
56,13,2,6,55,10,5,3,0
44,9,6,4,68,13,5,1,2
40,10,3,5,59,19,9,5,1
53,10,12,6,42,13,7,7,1
44,7,4,2,71,16,4,2,2
59,20,11,6,40,9,5,0,2
58,7,4,2,51,11,14,3,1
48,7,6,2,69,6,8,4,2
53,5,6,2,62,14,3,5,0
63,5,9,9,48,5,11,0,0
69,10,10,6,38,7,7,3,2
66,11,4,9,38,10,11,1,1
40,10,8,7,61,12,6,6,1
59,6,6,9,53,7,4,6,1
40,3,3,3,91,5,4,1,1
12,3,3,8,107,7,5,5,1
76,13,7,8,29,9,3,5,1
38,13,11,9,54,8,6,11,1
36,11,6,6,66,12,5,8,2
49,12,9,7,44,13,7,9,0
39,6,4,6,78,12,4,1,0
41,13,1,8,55,15,9,8,2
44,11,11,7,58,10,3,6,2
70,10,3,5,44,7,5,6,1
69,5,1,5,47,8,9,6,2
78,3,1,4,47,6,1,10,0
49,19,9,6,44,4,14,5,0
46,11,4,11,60,7,4,7,2
19,4,7,6,97,11,3,3,1
55,16,7,7,45,10,4,6,1
118,8,10,1,8,2,2,1,1
82,2,3,1,55,2,4,1,1
46,5,6,4,71,6,9,3,1
72,4,6,3,49,4,6,6,1
92,8,5,5,27,5,4,4,2
70,13,8,1,43,3,8,4,1
71,6,7,6,50,3,4,3,2
76,8,4,5,39,6,4,8,1
58,8,10,3,52,4,4,11,2
79,19,2,4,26,11,4,5,0
40,6,6,7,65,15,5,6,0
45,2,8,8,63,11,6,7,2
72,21,9,2,31,4,8,3,1
93,15,5,2,24,2,6,3,2
124,3,0,2,8,3,4,6,0
100,7,2,8,24,2,3,4,0
67,12,8,5,39,5,8,6,2
44,12,6,4,57,8,12,7,0
67,17,9,5,33,10,6,3,0
56,9,5,8,42,14,12,4,2
60,6,9,5,54,3,8,5,1
60,5,3,5,46,10,9,12,1
81,11,4,4,28,12,5,5,2
68,10,11,1,37,8,10,5,0
65,16,9,7,35,6,6,6,0
53,9,2,12,52,15,4,3,2
90,5,9,5,24,8,6,3,1
85,5,5,4,34,9,4,4,1
53,18,7,7,37,9,10,9,1
87,10,3,0,28,11,8,3,2
71,4,3,2,63,2,3,2,0
109,7,3,9,10,5,1,6,0
104,6,2,4,23,4,5,2,2
51,11,10,5,54,6,8,5,1
53,8,0,4,61,7,8,9,1
32,7,3,2,73,24,8,1,2
52,8,12,5,54,8,8,3,1
